Noun	Abs V	co-oc-a	Con V	co-oc-c	CORELEX_TYPE
map	let	777	see	5373	avr
map	welcome	470	google	3067	avr
map	get	400	set	1766	avr
map	define	395	work	1200	avr
map	trust	360	open	1184	avr
map	need	303	show	1146	avr
map	express	302	click	655	avr
map	coordinate	249	travel	549	avr
map	represent	231	live	529	avr
map	consider	222	cover	528	avr
map	might	216	cross	451	avr
map	love	215	pack	436	avr
map	exist	204	sound	407	avr
map	occur	192	run	364	avr
map	determine	188	play	351	avr
map	reduce	181	turn	337	avr
map	indicate	168	move	332	avr
map	denote	162	produce	314	avr
map	discover	150	figure	301	avr
map	correspond	134	cut	272	avr
map	hope	131	draw	270	avr
map	develop	131	release	265	avr
map	remain	128	measure	263	avr
map	require	127	vote	263	avr
map	focus	125	call	252	avr
map	suppose	123	sign	247	avr
map	generate	119	lead	242	avr
map	describe	114	stop	234	avr
map	keep	113	read	223	avr
map	continue	108	build	222	avr
map	know	99	fall	215	avr
map	depict	98	capture	211	avr
map	establish	93	walk	209	avr
map	understand	82	follow	207	avr
map	care	81	spread	207	avr
map	prepare	78	visit	203	avr
map	gain	74	split	202	avr
map	offer	71	reach	187	avr
map	improve	70	fold	187	avr
map	achieve	68	rise	184	avr
map	vary	67	reverse	179	avr
map	learn	65	halt	176	avr
map	enable	64	drive	170	avr
map	consist	64	cook	168	avr
map	ensure	63	step	149	avr
map	try	62	escape	147	avr
map	believe	60	fight	141	avr
map	want	60	hold	139	avr
map	prove	59	saw	134	avr
map	demand	58	hit	133	avr
map	promote	58	stretch	129	avr
map	maintain	57	extract	126	avr
map	suggest	55	fell	112	avr
map	prevent	54	check	111	avr
map	affect	53	launch	110	avr
map	detect	53	write	109	avr
map	manage	52	aim	108	avr
map	stay	52	lock	108	avr
map	implement	52	vertices	101	avr
map	conjugate	50	serve	99	avr
map	decide	49	collect	96	avr
map	engage	49	strike	92	avr
map	compute	49	hunt	91	avr
map	assume	47	cast	90	avr
map	solve	47	publish	86	avr
map	feel	47	notice	84	avr
map	analyze	47	dance	84	avr
map	explain	44	break	83	avr
map	belong	42	bang	83	avr
map	conduct	41	pick	79	avr
map	lose	41	collapse	77	avr
map	induce	41	burn	77	avr
map	verify	40	illustrate	76	avr
map	defend	40	lay	76	avr
map	interpret	40	stand	76	avr
map	satisfy	38	seal	72	avr
map	wish	37	bend	71	avr
map	distinguish	37	kill	71	avr
map	assess	37	fly	70	avr
map	attribute	36	zip	68	avr
map	resemble	35	carry	68	avr
map	opt	35	wipe	67	avr
map	specify	34	fry	66	avr
map	agree	34	steal	65	avr
map	accommodate	33	touch	64	avr
map	shall	33	drop	64	avr
map	facilitate	32	fill	63	avr
map	differ	32	switch	62	avr
map	approve	31	forge	61	avr
map	tend	31	lift	60	avr
map	contribute	31	push	60	avr
map	recall	31	shed	60	avr
map	investigate	31	expand	59	avr
map	doubt	29	roll	59	avr
map	realize	29	wash	59	avr
map	regulate	29	watch	57	avr
map	compromise	28	pay	56	avr
map	depend	28	hop	55	avr
map	derive	28	retrieve	53	avr
map	promise	28	edit	50	avr
phone	get	983	call	11785	avr
phone	love	361	show	1192	avr
phone	offer	269	see	946	avr
phone	know	260	talk	798	avr
phone	need	240	live	669	avr
phone	keep	235	work	644	avr
phone	let	204	pay	625	avr
phone	want	175	set	503	avr
phone	might	158	release	499	avr
phone	try	139	dial	439	avr
phone	stay	116	touch	397	avr
phone	focus	114	google	390	avr
phone	require	111	pick	383	avr
phone	care	105	play	363	avr
phone	continue	103	run	326	avr
phone	demand	102	open	317	avr
phone	prevent	102	cut	297	avr
phone	feel	93	sound	274	avr
phone	discover	90	vote	244	avr
phone	express	89	flip	242	avr
phone	believe	82	reach	241	avr
phone	determine	82	turn	235	avr
phone	inform	81	launch	227	avr
phone	develop	78	watch	219	avr
phone	enable	74	stop	218	avr
phone	manage	68	check	211	avr
phone	learn	68	speak	205	avr
phone	decide	66	cast	200	avr
phone	investigate	66	read	191	avr
phone	hope	63	hear	184	avr
phone	wish	63	switch	180	avr
phone	hate	62	cover	179	avr
phone	conduct	62	hold	172	avr
phone	remain	61	kill	158	avr
