Noun	Abs V	co-oc-a	Con V	co-oc-c	CORELEX_TYPE
benefit	trust	860	work	1479	pom
benefit	doubt	605	show	1464	pom
benefit	might	605	see	779	pom
benefit	care	598	live	681	pom
benefit	get	411	set	511	pom
benefit	need	406	raise	510	pom
benefit	gain	384	pay	459	pom
benefit	love	334	play	450	pom
benefit	offer	297	run	403	pom
benefit	continue	295	open	343	pom
benefit	hope	280	saw	286	pom
benefit	ensure	278	cross	278	pom
benefit	promote	267	release	232	pom
benefit	reduce	229	produce	203	pom
benefit	improve	212	lead	185	pom
benefit	develop	191	stand	184	pom
benefit	focus	190	cover	178	pom
benefit	derive	188	vote	160	pom
benefit	believe	182	turn	152	pom
benefit	shall	152	aim	149	pom
benefit	determine	148	hold	148	pom
benefit	prevent	147	move	145	pom
benefit	contribute	146	serve	139	pom
benefit	achieve	143	measure	136	pom
benefit	keep	142	fight	134	pom
benefit	establish	140	build	133	pom
benefit	know	135	cut	133	pom
benefit	feel	135	sound	127	pom
benefit	require	133	rise	121	pom
benefit	want	128	dance	121	pom
benefit	enjoy	128	reach	114	pom
benefit	manage	126	travel	113	pom
benefit	maintain	126	cast	111	pom
benefit	enable	111	drive	106	pom
benefit	confer	108	fall	104	pom
benefit	conduct	107	sell	93	pom
benefit	demand	107	volunteer	92	pom
benefit	consider	106	call	92	pom
benefit	tend	106	read	90	pom
benefit	let	105	spread	77	pom
benefit	suggest	91	follow	76	pom
benefit	seem	90	repair	73	pom
benefit	learn	88	stop	71	pom
benefit	wish	86	carry	70	pom
benefit	remain	82	figure	67	pom
benefit	enhance	82	hit	66	pom
benefit	guarantee	81	waste	64	pom
benefit	generate	81	break	61	pom
benefit	maximize	80	split	61	pom
benefit	lose	79	buy	60	pom
benefit	engage	78	visit	60	pom
benefit	try	77	strike	59	pom
benefit	occur	76	walk	59	pom
benefit	implement	72	write	58	pom
benefit	exist	72	sign	57	pom
benefit	understand	71	draw	56	pom
benefit	prove	69	sing	56	pom
benefit	affect	69	step	54	pom
benefit	suffer	66	drop	52	pom
benefit	exploit	63	collect	49	pom
benefit	promise	63	expand	47	pom
benefit	stay	63	google	45	pom
benefit	indicate	56	switch	44	pom
benefit	qualify	55	capture	43	pom
benefit	retain	55	roll	43	pom
benefit	explain	53	treat	42	pom
benefit	express	51	sleep	42	pom
benefit	justify	48	eat	40	pom
benefit	evaluate	47	notice	39	pom
benefit	represent	46	speak	39	pom
benefit	facilitate	44	check	39	pom
benefit	decide	44	kill	38	pom
benefit	assess	44	talk	38	pom
benefit	earn	42	launch	37	pom
benefit	agree	41	cook	37	pom
benefit	exceed	39	lay	35	pom
benefit	expect	39	hunt	34	pom
benefit	realize	38	drag	34	pom
benefit	undertake	37	touch	32	pom
benefit	afford	34	push	32	pom
benefit	cooperate	34	reverse	31	pom
benefit	vary	34	escape	30	pom
benefit	utilize	34	permit	30	pom
benefit	rely	30	lift	30	pom
benefit	recognize	30	freeze	30	pom
benefit	deny	30	hurt	29	pom
benefit	adopt	30	wear	29	pom
benefit	define	29	fly	29	pom
benefit	describe	28	publish	28	pom
benefit	discover	28	tie	28	pom
benefit	accrue	27	combine	27	pom
benefit	convince	27	hear	26	pom
benefit	deprive	27	watch	25	pom
benefit	conserve	26	extract	24	pom
benefit	commit	26	mix	24	pom
benefit	solve	25	catch	24	pom
