Noun	Abs V	co-oc-a	Con V	co-oc-c	CORELEX_TYPE
tank	need	300	see	1298	aqu
tank	get	270	hit	812	aqu
tank	develop	233	set	695	aqu
tank	keep	206	work	661	aqu
tank	prevent	173	open	548	aqu
tank	love	147	show	448	aqu
tank	reduce	130	carry	375	aqu
tank	might	122	drive	367	aqu
tank	improve	116	drop	367	aqu
tank	require	105	run	363	aqu
tank	focus	100	saw	356	aqu
tank	remain	97	lead	347	aqu
tank	engage	97	cross	311	aqu
tank	express	95	launch	304	aqu
tank	maintain	93	cover	289	aqu
tank	continue	91	move	288	aqu
tank	trust	83	fight	250	aqu
tank	accommodate	81	live	245	aqu
tank	ensure	79	stop	235	aqu
tank	consist	78	build	234	aqu
tank	care	77	escape	232	aqu
tank	let	74	hold	231	aqu
tank	demand	66	fill	228	aqu
tank	establish	64	ditch	224	aqu
tank	defend	63	stand	220	aqu
tank	promote	59	repair	218	aqu
tank	feel	59	release	210	aqu
tank	offer	58	lift	209	aqu
tank	try	56	produce	208	aqu
tank	conduct	54	cast	208	aqu
tank	reinforce	54	cut	207	aqu
tank	achieve	50	waste	200	aqu
tank	represent	48	kill	196	aqu
tank	stay	48	turn	193	aqu
tank	withstand	48	fall	183	aqu
tank	exploit	46	serve	181	aqu
tank	overcome	44	break	176	aqu
tank	prepare	44	spike	164	aqu
tank	know	43	barge	164	aqu
tank	indicate	42	capture	154	aqu
tank	settle	40	smoke	154	aqu
tank	want	39	float	147	aqu
tank	lose	39	shed	147	aqu
tank	forget	37	reach	144	aqu
tank	describe	37	touch	139	aqu
tank	exist	37	split	136	aqu
tank	enable	35	penetrate	132	aqu
tank	simulate	35	mix	113	aqu
tank	vary	34	explode	112	aqu
tank	discover	34	fell	110	aqu
tank	hope	33	spare	109	aqu
tank	detect	33	watch	109	aqu
tank	facilitate	32	dive	108	aqu
tank	determine	32	play	102	aqu
tank	resemble	32	sound	98	aqu
tank	manage	31	paint	94	aqu
tank	gain	31	comb	94	aqu
tank	occur	29	call	93	aqu
tank	incorporate	28	strike	93	aqu
tank	tend	27	travel	89	aqu
tank	investigate	27	switch	87	aqu
tank	adopt	27	spread	86	aqu
tank	believe	25	blow	84	aqu
tank	retain	25	follow	82	aqu
tank	affect	24	dunk	82	aqu
tank	consider	23	dip	79	aqu
tank	enhance	23	dump	78	aqu
tank	fulfill	22	aim	76	aqu
tank	wonder	22	flush	75	aqu
tank	utilize	22	push	72	aqu
tank	contribute	22	thrust	71	aqu
tank	cope	21	shoot	71	aqu
tank	prefer	20	roll	71	aqu
tank	suggest	20	reverse	70	aqu
tank	suppress	20	rise	69	aqu
tank	generate	20	keel	68	aqu
tank	assume	19	lock	65	aqu
tank	rely	19	volunteer	62	aqu
tank	solve	19	swim	62	aqu
tank	undertake	18	pull	61	aqu
tank	commit	18	pack	60	aqu
tank	woo	18	catch	60	aqu
tank	prove	17	measure	59	aqu
tank	hate	17	wheelbase	58	aqu
tank	minimize	17	sign	56	aqu
tank	define	16	figure	55	aqu
tank	learn	16	collapse	54	aqu
tank	commemorate	16	escort	53	aqu
tank	understand	16	fly	52	aqu
tank	differ	15	tire	52	aqu
tank	envy	15	shut	51	aqu
tank	realize	15	trim	51	aqu
tank	thrive	15	burn	51	aqu
tank	exceed	14	buy	50	aqu
tank	doubt	14	wash	50	aqu
tank	bolster	14	walk	49	aqu
tank	welcome	14	spill	48	aqu
tank	rid	14	check	48	aqu
tank	sustain	14	wear	47	aqu
tank	replenish	14	knock	47	aqu
