Noun	Abs V	co-oc-a	Con V	co-oc-c	CORELEX_TYPE
edition	love	2566	release	8661	arg
edition	reissue	1058	cover	6857	arg
edition	get	510	work	6123	arg
edition	express	409	set	5167	arg
edition	let	374	show	4412	arg
edition	focus	351	live	4267	arg
edition	hope	336	open	3470	arg
edition	commemorate	319	see	3171	arg
edition	qualify	301	play	2220	arg
edition	promote	300	run	1700	arg
edition	know	288	saw	1208	arg
edition	demand	272	google	1034	arg
edition	need	269	dance	934	arg
edition	trust	256	fall	851	arg
edition	wonder	237	pack	844	arg
edition	care	237	publish	827	arg
edition	want	236	mix	816	arg
edition	keep	221	sound	803	arg
edition	represent	210	launch	730	arg
edition	believe	194	kindle	716	arg
edition	exist	189	read	707	arg
edition	determine	186	cut	688	arg
edition	welcome	181	cross	663	arg
edition	continue	177	lead	644	arg
edition	coincide	175	makeover	595	arg
edition	might	175	produce	511	arg
edition	offer	160	call	502	arg
edition	feel	156	cast	484	arg
edition	wish	149	hit	477	arg
edition	remain	148	edit	400	arg
edition	prepare	147	draw	398	arg
edition	stay	139	switch	396	arg
edition	learn	132	figure	383	arg
edition	promise	109	softcover	380	arg
edition	decide	108	beat	374	arg
edition	improve	101	travel	373	arg
edition	develop	94	rise	371	arg
edition	imagine	90	trim	362	arg
edition	lose	83	split	359	arg
edition	happen	80	stand	354	arg
edition	differ	78	tie	343	arg
edition	try	76	watch	329	arg
edition	indicate	75	follow	319	arg
edition	describe	73	talk	319	arg
edition	vary	71	write	307	arg
edition	revise	70	turn	303	arg
edition	reprise	69	break	298	arg
edition	shall	67	drive	296	arg
edition	cease	67	move	289	arg
edition	consider	64	console	286	arg
edition	forget	64	cry	283	arg
edition	reborn	64	hunt	279	arg
edition	retain	62	cook	263	arg
edition	hate	61	fight	254	arg
edition	doubt	60	hop	245	arg
edition	conduct	60	hold	243	arg
edition	consist	59	touch	233	arg
edition	defend	58	roll	233	arg
edition	gain	57	jump	225	arg
edition	contribute	56	kiss	224	arg
edition	achieve	56	fell	222	arg
edition	establish	55	buy	221	arg
edition	understand	52	stop	221	arg
edition	discover	49	slam	215	arg
edition	earn	49	walk	214	arg
edition	dare	48	reach	207	arg
edition	maintain	46	kill	206	arg
edition	spoof	46	sing	203	arg
edition	recommend	45	spin	198	arg
edition	explain	44	knock	198	arg
