Noun	Abs V	co-oc-a	Con V	co-oc-c	CORELEX_TYPE
border	prevent	581	cross	11897	frt
border	defend	377	see	3052	frt
border	continue	323	set	1301	frt
border	get	314	open	1210	frt
border	establish	302	work	1114	frt
border	need	293	travel	910	frt
border	remain	279	run	871	frt
border	keep	275	stop	622	frt
border	love	219	live	571	frt
border	settle	214	stretch	551	frt
border	might	211	reach	544	frt
border	maintain	208	build	506	frt
border	resolve	187	move	498	frt
border	focus	183	sign	486	frt
border	stay	171	play	473	frt
border	exist	171	escape	436	frt
border	conduct	170	drive	423	frt
border	improve	165	saw	396	frt
border	ensure	163	show	382	frt
border	facilitate	162	cut	365	frt
border	express	159	fall	351	frt
border	reduce	151	cover	331	frt
border	care	148	serve	328	frt
border	define	137	fight	318	frt
border	occur	134	turn	314	frt
border	hope	130	lay	314	frt
border	determine	127	follow	310	frt
border	demand	125	split	297	frt
border	try	116	watch	293	frt
border	develop	115	capture	292	frt
border	represent	112	fell	280	frt
border	want	111	lead	274	frt
border	let	111	visit	259	frt
border	shall	107	hit	248	frt
border	trust	104	break	244	frt
border	recognize	103	flee	240	frt
border	promote	100	spread	236	frt
border	require	94	brush	235	frt
border	gain	92	check	231	frt
border	engage	91	call	207	frt
border	offer	88	rise	202	frt
border	deter	87	sound	188	frt
border	manage	86	pay	177	frt
border	reinforce	85	carry	173	frt
border	agree	84	fly	172	frt
border	believe	81	hold	169	frt
border	cease	81	stand	163	frt
border	enhance	79	release	161	frt
border	consider	78	strike	160	frt
border	compromise	78	permit	157	frt
border	indicate	78	cast	150	frt
border	negotiate	75	step	150	frt
border	know	73	launch	147	frt
border	belong	72	walk	146	frt
border	enable	72	bend	139	frt
border	welcome	72	draw	138	frt
border	shalom	71	kill	137	frt
border	solve	66	straddle	135	frt
border	investigate	66	aim	133	frt
border	vary	64	cook	132	frt
border	retain	63	seal	129	frt
border	decide	62	volunteer	126	frt
border	distinguish	59	trim	126	frt
border	affect	58	dance	113	frt
border	detect	57	occupy	110	frt
border	implement	57	arrive	109	frt
border	constitute	50	figure	106	frt
border	tend	49	shut	105	frt
border	consist	49	halt	104	frt
border	suggest	46	shoot	103	frt
border	qualify	46	reverse	102	frt
border	prepare	46	push	97	frt
border	describe	45	expand	95	frt
border	coordinate	45	escort	90	frt
border	accommodate	41	invade	86	frt
border	cooperate	40	speak	86	frt
border	restrict	40	wear	85	frt
border	lose	40	vote	83	frt
border	achieve	40	mix	80	frt
border	terminate	40	collapse	78	frt
border	contribute	38	touch	75	frt
border	delineate	36	hunt	72	frt
border	feel	36	seize	72	frt
border	fortify	35	beat	72	frt
border	impose	33	measure	70	frt
border	guarantee	33	produce	68	frt
border	declare	33	raise	68	frt
border	deny	33	buy	67	frt
border	wish	32	sell	67	frt
border	promise	32	spin	63	frt
border	discover	32	read	60	frt
border	happen	30	ditch	57	frt
border	exploit	29	slip	56	frt
