candidate obtained from Corelex	frequency in pUkWac
investor	59504
invitation	41977
involvement	99226
isolation	26667
jazz	56843
joke	34739
journal	129069
journalist	63567
joy	49856
judge	87397
judgement	52616
judgment	53119
juice	27346
jury	20841
justification	23482
keeper	28950
kick	24813
kidney	21767
kind	335354
knee	43704
knowledge	412264
lad	30278
ladder	24681
lady	79122
landing	30130
landlord	52250
launch	85906
lawyer	62548
layout	53501
learner	76621
learning	166661
lecture	70940
lecturer	48840
legacy	33204
legislation	163416
leisure	72211
lender	37350
lesson	133781
letter	338970
level	975925
liability	108817
liberty	27798
library	266002
license	43409
lie	26456
lift	41786
lighting	49960
listener	22684
listing	67723
literacy	51317
literature	112328
loan	191008
logic	41337
look	211495
loop	45844
lover	32979
loyalty	22810
luck	51816
lunch	94359
lung	30932
magazine	155099
magic	25542
mail	91139
mainstream	19953
maintenance	122710
maker	59154
management	596868
manager	280072
manufacturer	104181
map	238692
mapping	29166
marker	27713
market	564917
marriage	91137
mask	29221
maternity	23582
mathematics	52603
meal	106327
mean	139392
measurement	75568
mediation	22867
medication	39040
medicine	113875
membership	173562
memorial	27835
memory	190841
mentor	25132
merchant	41983
mercy	19838
methodology	52668
midnight	20044
midwife	21662
milk	66749
mill	37305
mind	285331
ministry	40294
mission	100422
mistake	73988
modification	41565
module	222354
money	516513
monk	20366
monster	23651
monument	33277
mortality	24978
mortgage	110912
motivation	40506
muscle	72151
music	495161
musician	56345
neighbour	55849
nerve	36022
network	398253
newspaper	122066
nobody	48700
noise	95082
noon	20492
north	69846
notice	190325
notion	52088
novel	93602
nurse	111200
objective	193858
obligation	80534
observation	84113
observer	26702
obstacle	26038
occasion	123933
occupation	57686
occurrence	24931
ocean	33154
offender	37846
offer	224232
offering	56947
officer	249952
official	105957
operation	287941
opinion	180516
opponent	44613
opposite	22854
option	408110
organization	88477
orientation	32053
original	19835
outlet	33054
outline	33018
output	145614
owner	212694
ownership	63584
package	185102
packet	26638
pain	150552
painting	92365
palace	23453
panel	129291
panic	20109
parade	21306
parallel	22565
parameter	95791
parent	360251
parliament	31456
participant	140292
partner	264654
passenger	104771
pathway	34438
patient	429488
pattern	173433
pay	107773
payment	303092
peer	44334
penalty	73621
pension	156007
pensioner	21786
people	2741245
percent	79060
percentage	64684
perception	65999
performance	481852
performer	36787
permission	139265
person	630839
personnel	52627
petition	31022
pharmacist	25971
pharmacy	24060
phenomenon	50786
philosopher	20353
philosophy	78894
phone	267624
photographer	39496
photography	44855
phrase	64707
physician	20575
physics	23277
piano	35323
picture	327493
pipe	51026
placement	80683
plan	496559
plane	61029
planner	22563
planning	213915
platform	113684
player	369778
pleasure	65202
poet	47281
poker	114532
police	252142
politician	52419
politics	105257
population	236379
portrait	42222
possession	56780
possibility	135121
postgraduate	65338
pottery	20367
powder	22890
practice	602976
practitioner	92720
prejudice	29335
premium	53275
prescription	31655
presentation	198906
presenter	21763
prevention	57704
price	583582
pricing	36103
priest	41718
print	126610
printing	43347
prisoner	58805
procedure	265482
produce	22465
production	323536
profession	69732
professional	133161
professor	30031
profit	127243
program	310003
programme	786789
project	1069149
promise	55824
promotion	92962
prophet	26318
proposal	256486
prosecution	32012
prototype	23204
provider	168309
provision	322763
psychologist	20000
psychology	35701
public	211242
publication	260776
publisher	76909
pump	35193
purchase	103927
pursuit	28562
puzzle	61214
qualification	143453
question	736239
racism	24301
radiation	31148
radio	143306
railway	99128
rain	70555
rate	512455
rating	115046
ratio	50793
reaction	102883
reality	136615
reasoning	22178
receipt	60902
reception	73280
recipient	30970
recognition	95781
recording	101555
reduction	120607
redundancy	20198
ref	64916
referee	27633
reference	338469
refugee	51162
refund	29107
refusal	22474
regard	80727
regeneration	55131
regime	82113
regiment	19601
register	66682
relationship	321023
relative	43645
relevance	41196
religion	109996
remainder	27869
remedy	27012
renewal	32041
rental	23019
repayment	24517
reply	129826
report	782851
reporter	28801
representative	144265
reproduction	25434
reputation	81910
request	207795
research	1003891
researcher	128641
resident	175005
respect	213707
respondent	54293
responsibility	303945
restriction	76999
retailer	53641
retention	29623
revelation	24556
revenue	94016
review	419817
reviewer	22203
revision	41278
reward	42778
ride	69561
rider	43167
ridge	21706
rival	24048
road	442344
role	555728
roundabout	24289
route	233705
routine	41026
rubber	21650
rule	320071
salary	67426
sale	399217
sanction	26935
sand	52945
sandwich	21584
satisfaction	46842
sauce	21966
scholar	44896
scholarship	36586
science	272012
scientist	110358
scope	80360
screening	36168
sculpture	29823
sea	174289
search	342798
seeker	30169
seller	27659
seminar	108822
separation	27248
setup	25299
shame	34541
shareholder	48830
sharing	30576
shelter	31695
shop	249191
shoulder	50497
show	324048
sickness	21053
simulation	48307
singer	44126
single	29211
sister	75482
size	366645
sketch	23179
skill	665316
slave	29604
slide	44591
smell	20460
society	296134
sociology	29345
socket	25245
solicitor	68550
solo	37070
someone	308421
south	55184
spam	28757
specialist	210236
specie	120872
specification	89618
speech	131933
split	28354
spokesman	26333
sponsor	37486
spouse	20254
squad	42596
stake	28492
stakeholder	53567
stall	25176
statement	276546
station	243428
statistic	85671
steel	70045
storage	97492
storm	41344
story	347333
strand	24363
stranger	25649
strategy	334705
stroke	45199
student	1299557
studio	81895
submission	74866
subscriber	31889
subscription	63148
subsidiary	29014
subsidy	23059
substitute	24346
successor	22078
suffering	37949
suite	59650
sunshine	21175
supplier	131943
supporter	73866
surface	155924
surgeon	26962
surgery	82688
surprise	63664
survey	255764
survival	44511
sympathy	21451
syndrome	30263
syntax	20078
synthesis	20783
tablet	28355
tactic	29625
tag	53778
tale	55912
talent	71392
talk	170247
tank	65497
tariff	21900
tax	273626
taxation	23145
taxpayer	21772
teacher	348666
teaching	269374
technique	246934
technology	452657
teenager	32713
telephone	195669
television	125823
template	45232
temple	31292
tenant	77777
tendency	34959
tender	33099
tension	43093
terror	28023
terrorist	25612
text	462043
theatre	117304
theme	167875
theology	25770
theory	215166
therapist	29275
thinking	71236
thought	168267
tide	30047
toilet	52369
tolerance	21550
tooth	50343
tour	182220
tourist	61129
trader	29147
tradition	117411
traffic	159369
tragedy	24463
trail	46401
trainee	38213
training	639043
transfer	148322
transformation	42072
translation	81060
transportation	22033
traveller	40865
treatment	369528
trend	90405
trial	192717
tribunal	30509
tribute	32272
trick	40180
troop	57365
trouble	90990
trustee	61328
tuition	31892
tutor	69129
un	27097
undergraduate	31853
university	246125
use	1045274
user	600393
vacation	25526
valuation	28456
valve	27669
van	30375
variation	78241
vegetation	20960
vendor	28523
venture	47611
version	402447
vessel	65694
vet	22411
vice	24762
victim	93683
viewpoint	19658
violence	87923
vision	125428
visit	288978
visitor	220681
vitamin	45916
vocabulary	23745
voltage	20627
volunteer	145543
vote	111971
voter	27701
wage	55783
walk	117154
warning	71556
wealth	74329
weapon	123637
weather	136486
wedding	143766
welfare	75434
well	30099
west	70830
wife	169344
win	52949
wine	118660
winner	125973
wire	45561
wireless	47279
wish	44125
withdrawal	31510
witness	84858
woman	558792
wonder	34349
worry	23797
worship	54412
writer	136446
writing	132792
youngster	29861
